score,kind,file,function,start_line,evidence_line,details,excerpt
75,unsynced-global-write,core.c,runtime_clear_last_diagnostic,2027,2029,"writes global state without lock, once primitive, or atomic primitive",void runtime_clear_last_diagnostic(void) { || g_last_diagnostic_valid = 0; || }
75,unsynced-global-write,cpu.c,abi_cpu_feature_mask,149,152,"writes global state without lock, once primitive, or atomic primitive",uint64_t abi_cpu_feature_mask(void) { || if (!g_kain_native_cpu_feature_mask_initialized) { || g_kain_native_cpu_feature_mask = abi_cpu_detect_feature_mask();
75,unsynced-global-write,entangle.c,entangle_registry_reset,22,25,"writes global state without lock, once primitive, or atomic primitive","void entangle_registry_reset(void) { || memset(g_kain_entangle_bindings, 0, sizeof(g_kain_entangle_bindings)); || g_kain_entangle_binding_count = 0;"
75,unsynced-global-write,graphics_system.c,abi_graphics_set_status,182,188,"writes global state without lock, once primitive, or atomic primitive","static int64_t abi_graphics_set_status( || int64_t status, || const char* kind,"
75,unsynced-global-write,graphics_system.c,abi_graphics_reset,454,461,"writes global state without lock, once primitive, or atomic primitive",int64_t abi_graphics_reset(void) { || int64_t index; || for (index = 0; index < ABI_GRAPHICS_MAX_SESSIONS; index += 1) {
75,unsynced-global-write,input_system.c,abi_input_ok,100,102,"writes global state without lock, once primitive, or atomic primitive","static int64_t abi_input_ok(void) { || g_last_status = ABI_INPUT_OK; || abi_input_copy(g_last_error_kind, sizeof(g_last_error_kind), ""ok"");"
75,unsynced-global-write,input_system.c,abi_input_fail,107,109,"writes global state without lock, once primitive, or atomic primitive","static int64_t abi_input_fail(int64_t status, const char* kind, const char* message) { || g_last_status = status; || abi_input_copy(g_last_error_kind, sizeof(g_last_error_kind), kind ? kind : ""error"");"
75,unsynced-global-write,input_system.c,abi_input_reset,361,364,"writes global state without lock, once primitive, or atomic primitive","int64_t abi_input_reset(void) { || memset(g_sessions, 0, sizeof(g_sessions)); || g_next_session_id = 1;"
75,unsynced-global-write,json.c,json_register_value,61,73,"writes global state without lock, once primitive, or atomic primitive",static void json_register_value(KainJsonValue* value) { || KainJsonRegistryNode* node; || if (!value) {
75,unsynced-global-write,net_system.c,abi_net_ok,555,557,"writes global state without lock, once primitive, or atomic primitive","static int64_t abi_net_ok(void) { || g_last_status = ABI_NET_OK; || abi_net_copy(g_last_error_kind, sizeof(g_last_error_kind), ""ok"");"
75,unsynced-global-write,net_system.c,abi_net_fail,562,564,"writes global state without lock, once primitive, or atomic primitive","static int64_t abi_net_fail(int64_t status, const char* kind, const char* message) { || g_last_status = status; || abi_net_copy(g_last_error_kind, sizeof(g_last_error_kind), kind ? kind : ""error"");"
75,unsynced-global-write,net_system.c,abi_net_reset,1761,1802,"writes global state without lock, once primitive, or atomic primitive",int64_t abi_net_reset(void) { || size_t index; || for (index = 0u; index < ABI_NET_MAX_CONNECTIONS; ++index) {
75,unsynced-global-write,process_system.c,abi_process_ok,198,200,"writes global state without lock, once primitive, or atomic primitive","static int64_t abi_process_ok(void) { || g_last_status = ABI_PROCESS_OK; || abi_process_copy(g_last_error_kind, sizeof(g_last_error_kind), ""ok"");"
75,unsynced-global-write,process_system.c,abi_process_find_free_spec_slot,326,328,"writes global state without lock, once primitive, or atomic primitive",static int abi_process_find_free_spec_slot(uint32_t* out_slot) { || if (out_slot == 0 || g_spec_occupancy_bits == UINT64_MAX) { || return 0;
75,unsynced-global-write,process_system.c,abi_process_find_free_process_slot,336,338,"writes global state without lock, once primitive, or atomic primitive",static int abi_process_find_free_process_slot(uint32_t* out_slot) { || if (out_slot == 0 || g_process_occupancy_bits == UINT64_MAX) { || return 0;
